Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.04525E-12,0.000000001,0,0.808673469,0.033333333,0
4.36217E-12,0.000000004,0,0.780612245,0.033333333,0
7.91487E-12,0.000000016,0.000000001,0.737244898,0.038461538,0
1.7434E-11,0.000000025,0.000000001,0.716836735,0.038461538,0
1.20545E-10,0.000000112,0.000000009,0.670918367,0.048717949,0
1.94182E-10,0.00000029,0.000000014,0.642857143,0.048717949,0
8.99336E-10,0.000001055,0.000000064,0.599489796,0.066666667,0
2.97054E-9,0.000002656,0.000000211,0.579081633,0.074358974,0
1.88188E-8,0.00001147,0.000001338,0.551020408,0.08974359,0
3.68253E-8,0.00002674,0.000002617,0.538265306,0.1,0
7.65508E-8,0.000053927,0.000005441,0.525510204,0.112820513,0
2.38558E-7,0.000119895,0.000016955,0.515306122,0.120512821,0
3.58577E-7,0.000315224,0.000025485,0.5,0.123076923,0
5.22828E-7,0.000524889,0.000037159,0.487244898,0.125641026,0
8.31954E-7,0.001028373,0.000059128,0.466836735,0.143589744,0
3.00717E-6,0.00275296,0.000213689,0.443877551,0.156410256,0
4.03361E-6,0.00557318,0.000286607,0.423469388,0.161538462,0
5.89269E-6,0.010292201,0.000418648,0.400510204,0.166666667,0
1.79723E-5,0.025976072,0.001275753,0.367346939,0.187179487,0
3.46225E-5,0.050075501,0.002454753,0.344387755,0.2,0
7.58918E-5,0.105690287,0.005365074,0.316326531,0.21025641,0
1.75815E-4,0.201114545,0.01234182,0.295918367,0.225641026,0
3.03987E-4,0.325466337,0.02114896,0.283163265,0.233333333,0
3.75289E-4,0.433745038,0.025980703,0.275510204,0.235897436,0
4.82197E-4,0.524906848,0.033136504,0.270408163,0.235897436,0
5.84948E-4,0.637523225,0.039915687,0.265306122,0.241025641,0
6.48905E-4,0.764548302,0.044087614,0.260204082,0.241025641,0
8.30092E-4,0.847557492,0.055711887,0.257653061,0.248717949,0
8.56483E-4,0.933205761,0.057381478,0.255102041,0.251282051,0
8.86158E-4,1.021821578,0.059251833,0.25255102,0.251282051,0
9.20811E-4,1.113902673,0.061426522,0.25,0.251282051,0
9.40475E-4,1.20795018,0.062656107,0.24744898,0.251282051,0
9.58925E-4,1.30384266,0.063806833,0.244897959,0.251282051,0
9.97886E-4,1.499523765,0.066227632,0.239795918,0.251282051,0
1.08526E-3,1.608049483,0.071611013,0.237244898,0.251282051,0
1.53804E-3,1.897070621,0.098543969,0.232142857,0.258974359,0
1.5829E-3,2.055360795,0.101127489,0.229591837,0.258974359,0
1.84733E-3,2.41607269,0.116060245,0.224489796,0.258974359,0
2.00303E-3,2.616375616,0.124623349,0.221938776,0.258974359,0
2.01997E-3,3.018675705,0.125545123,0.216836735,0.258974359,0
2.44553E-3,3.487443937,0.148077658,0.211734694,0.258974359,0
2.54022E-3,3.986018397,0.152934415,0.206632653,0.258974359,0
2.54983E-3,4.123388445,0.153424202,0.204081633,0.258974359,0
2.58043E-3,4.499873038,0.154980333,0.201530612,0.261538462,0
2.61846E-3,4.761718734,0.156905713,0.198979592,0.261538462,0
2.63048E-3,5.024766674,0.157512657,0.196428571,0.261538462,0
2.67931E-3,5.292698026,0.159969059,0.193877551,0.261538462,0
2.70879E-3,5.563576684,0.161444661,0.191326531,0.261538462,0
2.94846E-3,5.858422544,0.173254341,0.18877551,0.266666667,0
3.0884E-3,6.167262906,0.179997475,0.18622449,0.266666667,0
3.09114E-3,6.476377313,0.180128423,0.183673469,0.266666667,0
