Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.12313E-11,0.000000001,0.000000002,1,0,0
3.04457E-11,0.000000004,0.000000004,0.99744898,0,0
3.81762E-11,0.000000011,0.000000005,0.992346939,0,0
1.26069E-10,0.000000051,0.000000017,0.982142857,0,0
2.34949E-10,0.000000121,0.000000032,0.971938776,0,0
4.47006E-10,0.000000262,0.00000006,0.961734694,0,0
2.01663E-9,0.000001193,0.000000271,0.943877551,0,0
3.92322E-9,0.00000271,0.000000526,0.931122449,0,0
1.09516E-8,0.000010071,0.00000147,0.908163265,0,0
6.56863E-8,0.000038118,0.000008815,0.887755102,0,0
7.87612E-8,0.000052563,0.00001057,0.882653061,0,0
1.82738E-7,0.000109683,0.000024523,0.87244898,0,0
3.14643E-7,0.00027145,0.000042223,0.857142857,0,0
4.16246E-7,0.000539526,0.000055857,0.839285714,0,0
8.49997E-7,0.001003148,0.000114057,0.821428571,0,0
1.71354E-6,0.002627233,0.000229905,0.788265306,0,0
3.14904E-6,0.00506135,0.000422423,0.762755102,0,0
7.52272E-6,0.010495136,0.001008533,0.737244898,0.002583979,0
2.00228E-5,0.025709633,0.002679864,0.709183673,0.002583979,0
3.84699E-5,0.053458136,0.005136151,0.683673469,0.007751938,0
7.13775E-5,0.110623386,0.009487999,0.658163265,0.007751938,0
1.20015E-4,0.204918069,0.015850709,0.632653061,0.012919897,0
1.39298E-4,0.302961893,0.018350728,0.614795918,0.015503876,0
1.63433E-4,0.408615494,0.021462052,0.596938776,0.015503876,0
1.88651E-4,0.533518225,0.024691933,0.579081633,0.015503876,0
2.02572E-4,0.612917357,0.02646577,0.568877551,0.018087855,0
2.27694E-4,0.74402963,0.029650507,0.553571429,0.018087855,0
2.31396E-4,0.757194236,0.03011815,0.551020408,0.018087855,0
2.42652E-4,0.81539341,0.031537049,0.545918367,0.020671835,0
2.88727E-4,0.922892265,0.0373019,0.535714286,0.023255814,0
2.96006E-4,1.010238283,0.038206357,0.528061224,0.023255814,0
3.29136E-4,1.105179274,0.042301674,0.520408163,0.023255814,0
3.33092E-4,1.204489507,0.0427883,0.512755102,0.023255814,0
3.82822E-4,1.313583663,0.048864353,0.505102041,0.023255814,0
4.03884E-4,1.433125316,0.051414565,0.49744898,0.023255814,0
4.27291E-4,1.561080075,0.05423266,0.489795918,0.023255814,0
5.09462E-4,1.754245652,0.063994568,0.479591837,0.028423773,0
5.7901E-4,2.380781332,0.072100766,0.451530612,0.028423773,0
6.17677E-4,2.503154035,0.076547163,0.446428571,0.028423773,0
7.24413E-4,2.892030002,0.088602759,0.431122449,0.031007752,0
7.37185E-4,3.009189882,0.090024239,0.428571429,0.033591731,0
7.68505E-4,3.307195862,0.093491496,0.418367347,0.033591731,0
7.90634E-4,3.540856156,0.095925256,0.410714286,0.036175711,0
9.0586E-4,3.7507159,0.108390006,0.403061224,0.03875969,0
9.59428E-4,4.183388435,0.114068537,0.392857143,0.041343669,0
1.0278E-3,4.286168244,0.121211897,0.390306122,0.049095607,0
1.07531E-3,4.603813599,0.126108539,0.382653061,0.051679587,0
1.24573E-3,4.852659382,0.14323255,0.37755102,0.056847545,0
1.28161E-3,5.108845244,0.146752183,0.37244898,0.062015504,0
1.29589E-3,5.367866392,0.148144681,0.367346939,0.062015504,0
1.32579E-3,5.630881963,0.151046891,0.362244898,0.062015504,0
1.40127E-3,5.771009097,0.158285251,0.359693878,0.064599483,0
1.46494E-3,6.000654036,0.164295126,0.354591837,0.067183463,0
1.51626E-3,6.3650225,0.169077854,0.349489796,0.069767442,0
1.54345E-3,6.519367119,0.171589386,0.346938776,0.069767442,0
1.59681E-3,6.837440647,0.176475149,0.341836735,0.072351421,0
1.61406E-3,7.06818614,0.178041585,0.336734694,0.072351421,0
1.63644E-3,7.324357046,0.180066376,0.334183673,0.07751938,0
1.65246E-3,7.654458033,0.181508944,0.329081633,0.07751938,0
1.67128E-3,7.821586267,0.183197711,0.326530612,0.07751938,0
1.70574E-3,8.159745589,0.186271129,0.321428571,0.07751938,0
1.7193E-3,8.294720487,0.187474033,0.318877551,0.07751938,0
1.82863E-3,8.514912951,0.197046649,0.316326531,0.082687339,0
1.8638E-3,8.812224126,0.200078096,0.31122449,0.082687339,0
1.89217E-3,9.003087183,0.202507247,0.308673469,0.087855297,0
2.04459E-3,9.280557049,0.215307836,0.306122449,0.093023256,0
2.08349E-3,9.603647457,0.218508666,0.301020408,0.093023256,0
2.13105E-3,10.120564785,0.222387448,0.295918367,0.100775194,0
2.2507E-3,10.345634972,0.231977223,0.293367347,0.103359173,0
2.2854E-3,10.574174974,0.234714113,0.290816327,0.103359173,0
2.31141E-3,10.805316293,0.236753197,0.288265306,0.103359173,0
2.36047E-3,11.041363226,0.240569123,0.285714286,0.105943152,0
